what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025475652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025727025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1524025751361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1524025752783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025757808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025759319
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1524025759329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025759620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025761671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1524025762171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524025762552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524025762742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524025762933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025763794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025766986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025769818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025780716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025804804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025806585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025837510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025839932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025962663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1524025962683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025967386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1524025968558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524025968838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025969759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025986106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025986607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524025997971
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1524026002855
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524026004266
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524026004306
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1524026006207
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524026007628
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524026010812
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1524026025172
executed,command,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.popupmenu.removefrombuild",1524026029372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524026029923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524026031105
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524026031115
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524026032837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524026036520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524026038201
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1524026050306
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1524026058855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1524026060376
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1524026067082
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1524026073789
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1524026087656
